title,genre,Author
Beni Kor Kuyularda,roman,Toptas Hasan Ali
iki sehrin Hikayesi,dunya klasikleri,Dickens Charles
Bilge Adamin Korkusu,Fantastik,Rothfuss Patrick
Ruzgarin Adi,Fantastik,Rothfuss Patrick
Kinyas ve Kayra 18.yil Resimli Ozel Baskisi,roman,Gunday Hakan
Tirpan,turk klasikleri,Baykurt Fakir
Yedinci Gun,roman,Anar ihsan Oktay
Galiz Kahraman,roman,Anar ihsan Oktay
Golgesizler,roman,Toptas Hasan Ali
Aclik,dunya klasikleri,Hamsun Knut
Cakici'nin ilk Kursunu,turk klasikleri,Ali Sabahattin
Gece Vardiyasi,hikaye,Baykurt Fakir
Savas Sanati,dunya klasikleri,Sun Tzu
Ucurtmayi Vurmasinlar,roman,Cicekoglu Feride
Butun Oykuleri,hikaye,Atilgan Yusuf
ilahi Komedya,dunya klasikleri,Alighieri Dante
Mucizevi Mandarin,roman,Erdogan Asli
Kitab-ul Hiyel,roman,Anar ihsan Oktay
Efrasiyab'in Hikayeleri,roman,Anar ihsan Oktay
Amat,roman,Anar ihsan Oktay
Suskunlar,roman,Anar ihsan Oktay
Beren ile Lithien,inceleme,Tolkien J.R.R.
Devlerin Omuzlarinda Milano Dersleri,deneme,Eco Umberto
Drina Koprusu,roman,Andriç Ivo
Kamyon: Secme Oykuler,hikaye,Ali Sabahattin
Puslu Kitalar Atlasi,roman,Anar ihsan Oktay
Gorme Bicimleri,deneme,Berger John
Beyin Ekran,inceleme,Baker Ulus
isa'nin Guncesi,roman,Anday Melih Cevdet
Komunist Manifesto,deneme,Marx Karl
Seher,hihaye,Demirtas Selahattin
Aylak Adam,roman,Atilgan Yusuf
Olu Zaman Gezginleri,roman,Toptas Hasan Ali
Devran,hikaye,Demirtas Selahattin
Orsinya Oykuleri,hikaye,Le Guin Ursula K.
Cesur Yeni Dunya,roman,Huxley Aldous
Memleketimden insan Manzaralari,siir,Hikmet Ran Nazim
Son Kiz: Esaretimin Hikayesi ve IsiD'le Mucadelem,roman,Murad Nadia
Petrol!,roman,Sinclair Upton
Degirmen,hikaye,Ali Sabahattin
Anayurt Oteli,turk klasikleri,Atilgan Yusuf
Yilanlarin Ocu,Baykurt, Fakir,turk klasikleri,Baykurt Fakir
Kara Ahmet Destani,Baykurt, Fakir,turk klasikleri,Baykurt Fakir
Irazca'nin Dirligi,Baykurt, Fakir,turk klasikleri,Baykurt Fakir
Demiryolu Oykuleri,Varol, Kemal,hikaye,Varol Kemal
Bozkirin Uzak Bahceleri,Baran, Ethem,hikaye,Baran Ethem
Amok Kosucusu,Zweig, Stefan,dunya klasikleri,Zweig Stefan
itiraf,Pala, iskender,roman,Pala iskender
Kendi Isiginda Yanan Adam: Tanidigim Metin Erksan,Kesal, Ercan,hatira,Kesal Ercan
Beyaz Gemi,Aitmatov, Chingiz,roman,Aitmatov Chingiz
Cengiz Han'a Kusen Bulut,Aitmatov, Chingiz,roman,Aitmatov Chingiz
Uc Yil,Chekhov, Anton,dunya klasikleri,Chekhov Anton
Dorian Gray'in Portresi,Wilde, Oscar,dunya klasikleri,Wilde Oscar
Carmen,Merimee, Prosper,dunya klasikleri,Prosper Merimee
Dersu Uzala,Arsenyev, Vladimir,roman,Arsenyev Vladimir
Jamilia,Aitmatov, Chingiz,roman,Aitmatov Chingiz
Al da At Dercesine: Futbol Oykuleri,Cantek, Levent,hikaye,Cantek Levent
Genc Werther'in Acilari,Goethe, Johann Wolfgang von,dunya klasikleri,Goethe Johann Wolfgang von
Ay Isigi Sokagi,Zweig, Stefan,dunya klasikleri,Zweig Stefan
Leporella,Zweig, Stefan,dunya klasikleri,Zweig Stefan
Bir Cokusun Oykusu,Zweig, Stefan,dunya klasikleri,Zweig Stefan
Yuruyen Kelimeler,Galeano, Eduardo,deneme,Galeano Eduardo
Toprak Ana,Aitmatov, Chingiz,roman,Aitmatov Chingiz
Bozkirda Bir Gece Yarisi,Kesal, Ercan,hikaye,Kesal Ercan
Cin Aynasi,Kesal, Ercan,hikaye,Kesal Ercan
Nasipse Adayiz,Kesal, Ercan,roman,Kesal Ercan
Amok Kosucusu,Zweig, Stefan,dunya klasikleri,Zweig Stefan
Bir Dersim Hikayesi,Mungan, Murathan,hikaye,Mungan Murathan
Satranc,Zweig, Stefan,roman,Zweig Stefan
