 Surname;Name
Toptas; Hasan Ali
Dickens; Charles
Rothfuss; Patrick
Gunday; Hakan
Baykurt; Fakir
Anar; ihsan Oktay
Hamsun; Knut
Ali;Sabahattin
 Tzu;Sun
Cicekoglu; Feride
Atilgan; Yusuf
Alighieri; Dante
Erdogan; Asli
Tolkien; J.R.R.
Eco; Umberto
Andriç;Ivo
Ali; Sabahattin
Berger; John
Baker; Ulus
Anday; Melih Cevdet
Marx; Karl
Demirtas; Selahattin
Le Guin; Ursula K.
Huxley; Aldous
Hikmet Ran; Nazim
Murad; Nadia
Sinclair; Upton
Varol; Kemal
Baran; Ethem
Zweig; Stefan
Pala; iskender
Kesal; Ercan
Aitmatov; Chingiz
Chekhov; Anton
Wilde; Oscar
Merimee; Prosper
Arsenyev; Vladimir
Cantek; Levent
Goethe; Johann Wolfgang von
Galeano; Eduardo
Mungan; Murathan
Ciftci; Mustafa
Rousseau; Jean-Jacques
Atay; Oguz
Asimov; Isaac
Tanpinar; Ahmet Hamdi
Bilici; Mucahit
Serbes; Emrah
Kongar; Emre
Baker; Joanne
Harari; Yuval Noah
Bakirci; Cagri Mert
Dupre; Ben
Hemingway; Ernest
Steinbeck; John
Bora; Tanil
Bilici;Mucahit
Asimov;Issac
Wilson; Jonathan
Cakir; Rusen
Bardakci; Murat
 King;Stephen
Yalom; Irvin D.
Maalouf; Amin
Hosseini; Khaled
Kafka; Franz
Ortayli; ilber
Hesse; Hermann
Bartol; Vladimir
Chomsky; Noam
de Bernieres; Louis
Abasiyanik; Sait Faik
Coelho; Paulo
Orwell; George
Pamuk; Orhan
Kemal; Yasar
Martin; George R.R.
J.R.R.;Tolkien
Saint-Exupery; Antoine de
Twain; Mark
Dostoyevsky; Fyodor
